net,length_um
data_array.data0\[14\]\[61\],10.34µm
data_array.data1\[13\]\[5\],10.34µm
net4223,10.34µm
_01765_,10.325µm
_01922_,10.325µm
_02132_,10.325µm
_02360_,10.325µm
_03389_,10.32µm
_03512_,10.32µm
_04756_,10.32µm
cpu_rdata[10],10.32µm
cpu_rdata[12],10.32µm
cpu_rdata[40],10.32µm
cpu_rdata[62],10.32µm
data_array.rdata0\[44\],10.32µm
mem_wdata[38],10.32µm
mem_wdata[47],10.32µm
mem_wdata[48],10.32µm
mem_wdata[4],10.32µm
tag_array.tag0\[8\]\[20\],10.32µm
net288,10.32µm
net2639,10.32µm
net4487,10.32µm
net4560,10.32µm
net4606,10.32µm
_00480_,10.305µm
_01032_,10.305µm
_02078_,10.305µm
data_array.data0\[12\]\[8\],10.305µm
data_array.data0\[2\]\[11\],10.3µm
tag_array.tag0\[13\]\[18\],10.3µm
data_array.data0\[7\]\[9\],10.295µm
data_array.data1\[7\]\[54\],10.295µm
mem_addr[1],10.29µm
mem_addr[6],10.29µm
_01026_,10.285µm
_03583_,10.28µm
_05008_,10.28µm
data_array.data1\[13\]\[30\],10.28µm
data_array.data1\[13\]\[48\],10.28µm
data_array.data1\[2\]\[39\],10.28µm
data_array.data1\[4\]\[38\],10.28µm
data_array.data1\[6\]\[3\],10.28µm
data_array.rdata1\[0\],10.28µm
tag_array.tag0\[4\]\[0\],10.28µm
tag_array.tag1\[13\]\[3\],10.28µm
tag_array.tag1\[2\]\[16\],10.28µm
tag_array.tag1\[9\]\[13\],10.28µm
tag_array.valid1\[14\],10.28µm
net4626,10.28µm
data_array.data0\[14\]\[25\],10.26µm
tag_array.tag0\[1\]\[3\],10.26µm
_00636_,10.245µm
_00693_,10.245µm
_00952_,10.245µm
_01313_,10.245µm
_01876_,10.245µm
_01938_,10.245µm
_02319_,10.245µm
_02699_,10.245µm
tag_array.tag1\[3\]\[8\],10.245µm
_03636_,10.24µm
_04713_,10.24µm
_05025_,10.24µm
_05119_,10.24µm
data_array.data1\[1\]\[11\],10.24µm
data_array.data1\[6\]\[47\],10.24µm
tag_array.dirty1\[8\],10.24µm
tag_array.tag0\[0\]\[1\],10.24µm
tag_array.tag1\[12\]\[10\],10.24µm
tag_array.valid0\[14\],10.24µm
net182,10.24µm
lru_array.lru_mem\[5\],10.22µm
tag_array.valid0\[15\],10.22µm
net3464,10.22µm
cpu_addr[9],10.21µm
tag_array.tag1\[0\]\[18\],10.21µm
_00526_,10.205µm
_02579_,10.205µm
_03896_,10.2µm
_03914_,10.2µm
_04935_,10.2µm
_05022_,10.2µm
_05048_,10.2µm
data_array.data1\[10\]\[8\],10.2µm
data_array.data1\[3\]\[19\],10.2µm
tag_array.tag0\[10\]\[5\],10.2µm
net1700,10.2µm
_03855_,10.18µm
net1905,10.18µm
data_array.data0\[11\]\[38\],10.175µm
tag_array.tag1\[15\]\[11\],10.175µm
cpu_rdata[31],10.17µm
_00334_,10.165µm
_02426_,10.165µm
data_array.data1\[7\]\[21\],10.165µm
data_array.data0\[8\]\[11\],10.16µm
data_array.data1\[10\]\[38\],10.16µm
data_array.data1\[14\]\[10\],10.16µm
data_array.data1\[2\]\[13\],10.16µm
tag_array.tag1\[4\]\[4\],10.16µm
data_array.data1\[11\]\[19\],10.155µm
data_array.data1\[11\]\[32\],10.155µm
_01300_,10.145µm
_01782_,10.145µm
_01847_,10.145µm
data_array.data0\[3\]\[50\],10.145µm
data_array.data0\[3\]\[43\],10.14µm
data_array.data1\[11\]\[40\],10.14µm
net2191,10.14µm
_03261_,10.12µm
_05316_,10.12µm
data_array.data0\[10\]\[13\],10.12µm
data_array.data0\[14\]\[60\],10.12µm
data_array.data0\[4\]\[13\],10.12µm
data_array.data1\[0\]\[44\],10.12µm
tag_array.tag0\[10\]\[14\],10.12µm
tag_array.tag1\[10\]\[24\],10.12µm
tag_array.tag1\[2\]\[3\],10.12µm
tag_array.tag1\[8\]\[13\],10.12µm
net2448,10.12µm
net3900,10.12µm
net4079,10.12µm
net4341,10.12µm
data_array.data1\[15\]\[14\],10.115µm
data_array.data1\[3\]\[31\],10.115µm
data_array.data0\[15\]\[27\],10.105µm
_03629_,10.1µm
_03815_,10.1µm
_04050_,10.1µm
_04376_,10.1µm
_04848_,10.1µm
cpu_wdata[61],10.1µm
net281,10.1µm
net1728,10.1µm
net2219,10.1µm
net3946,10.1µm
net4125,10.1µm
net4199,10.1µm
_03219_,10.08µm
_03314_,10.08µm
cpu_rdata[24],10.08µm
cpu_rdata[30],10.08µm
data_array.data0\[0\]\[41\],10.08µm
data_array.data0\[13\]\[55\],10.08µm
data_array.data0\[14\]\[36\],10.08µm
data_array.data0\[1\]\[57\],10.08µm
data_array.data0\[7\]\[29\],10.08µm
data_array.data1\[0\]\[33\],10.08µm
data_array.data1\[13\]\[7\],10.08µm
data_array.data1\[1\]\[46\],10.08µm
data_array.data1\[6\]\[36\],10.08µm
_00432_,10.065µm
_02660_,10.065µm
_03007_,10.065µm
_03899_,10.06µm
_05277_,10.06µm
data_array.data0\[15\]\[0\],10.06µm
data_array.data1\[2\]\[40\],10.06µm
net148,10.06µm
_03054_,10.045µm
data_array.data1\[11\]\[9\],10.045µm
data_array.data1\[3\]\[9\],10.045µm
data_array.data0\[12\]\[14\],10.04µm
data_array.data0\[12\]\[50\],10.04µm
data_array.data1\[10\]\[20\],10.04µm
data_array.data1\[2\]\[33\],10.04µm
data_array.data1\[4\]\[44\],10.04µm
tag_array.tag1\[1\]\[22\],10.04µm
tag_array.tag1\[6\]\[10\],10.04µm
_01962_,10.025µm
_02826_,10.025µm
data_array.data0\[7\]\[8\],10.02µm
data_array.data1\[13\]\[46\],10.02µm
tag_array.tag0\[8\]\[17\],10.02µm
net104,10.02µm
net4418,10.02µm
_02956_,10.005µm
_03337_,10µm
_04060_,10µm
data_array.data0\[10\]\[62\],10µm
data_array.data0\[6\]\[20\],10µm
data_array.data0\[8\]\[8\],10µm
data_array.data1\[9\]\[38\],10µm
tag_array.tag0\[10\]\[9\],10µm
tag_array.tag1\[0\]\[7\],10µm
tag_array.tag0\[15\]\[3\],9.995µm
_01431_,9.985µm
_02925_,9.985µm
_04016_,9.98µm
_04620_,9.98µm
_04630_,9.98µm
data_array.data1\[11\]\[18\],9.98µm
_00370_,9.965µm
_02651_,9.965µm
_03341_,9.96µm
_04368_,9.96µm
data_array.data1\[8\]\[34\],9.96µm
tag_array.tag0\[5\]\[23\],9.96µm
tag_array.tag0\[6\]\[0\],9.96µm
_00241_,9.945µm
tag_array.tag0\[11\]\[17\],9.945µm
_03890_,9.94µm
_05134_,9.94µm
data_array.data0\[0\]\[26\],9.94µm
data_array.data0\[10\]\[46\],9.94µm
data_array.data1\[12\]\[36\],9.94µm
data_array.data1\[13\]\[27\],9.94µm
data_array.rdata0\[36\],9.94µm
tag_array.tag1\[10\]\[20\],9.94µm
net3268,9.94µm
_00527_,9.935µm
_03204_,9.92µm
data_array.data0\[0\]\[46\],9.92µm
data_array.data0\[10\]\[43\],9.92µm
data_array.data1\[0\]\[32\],9.92µm
data_array.data1\[0\]\[3\],9.92µm
data_array.rdata0\[17\],9.92µm
tag_array.tag1\[0\]\[13\],9.92µm
tag_array.tag1\[1\]\[18\],9.92µm
net2540,9.92µm
_02391_,9.915µm
_00917_,9.905µm
_01725_,9.905µm
_03085_,9.905µm
_03876_,9.9µm
_03974_,9.9µm
_04042_,9.9µm
_04064_,9.9µm
_05026_,9.9µm
_05205_,9.9µm
data_array.data0\[14\]\[23\],9.9µm
data_array.data1\[6\]\[30\],9.9µm
tag_array.tag0\[2\]\[12\],9.9µm
tag_array.tag0\[3\]\[0\],9.9µm
tag_array.tag1\[10\]\[22\],9.9µm
net3963,9.9µm
_04606_,9.885µm
tag_array.tag1\[7\]\[22\],9.885µm
_03893_,9.88µm
_04055_,9.88µm
_04482_,9.88µm
_04534_,9.88µm
_04582_,9.88µm
_04652_,9.88µm
_04735_,9.88µm
_04921_,9.88µm
_05206_,9.88µm
data_array.data1\[7\]\[47\],9.88µm
mem_wdata[17],9.88µm
mem_wdata[1],9.88µm
net2930,9.88µm
_00491_,9.865µm
_00931_,9.865µm
_00955_,9.865µm
_01060_,9.865µm
_01841_,9.865µm
_01948_,9.865µm
_02096_,9.865µm
_02224_,9.865µm
_02266_,9.865µm
_03113_,9.865µm
_03144_,9.86µm
_03644_,9.86µm
_03656_,9.86µm
_04224_,9.86µm
_04483_,9.86µm
_05019_,9.86µm
_05156_,9.86µm
cpu_rdata[36],9.86µm
cpu_rdata[60],9.86µm
data_array.data1\[10\]\[6\],9.86µm
mem_wdata[24],9.86µm
mem_wdata[30],9.86µm
mem_wdata[36],9.86µm
mem_wdata[40],9.86µm
mem_wdata[60],9.86µm
mem_wdata[62],9.86µm
mem_wdata[7],9.86µm
tag_array.tag1\[15\]\[21\],9.86µm
net3207,9.86µm
net3680,9.86µm
_01955_,9.855µm
_00941_,9.845µm
_00960_,9.845µm
data_array.data0\[15\]\[52\],9.845µm
data_array.data0\[15\]\[19\],9.84µm
data_array.data0\[15\]\[36\],9.835µm
data_array.data0\[7\]\[21\],9.835µm
_01640_,9.825µm
_02685_,9.825µm
_02719_,9.825µm
data_array.data0\[11\]\[33\],9.825µm
_03311_,9.82µm
_03461_,9.82µm
_04408_,9.82µm
_05112_,9.82µm
data_array.data0\[0\]\[56\],9.82µm
data_array.data0\[5\]\[4\],9.82µm
data_array.data1\[0\]\[19\],9.82µm
data_array.data1\[12\]\[22\],9.82µm
data_array.data1\[13\]\[19\],9.82µm
data_array.data1\[13\]\[38\],9.82µm
data_array.data1\[13\]\[41\],9.82µm
data_array.data1\[1\]\[34\],9.82µm
data_array.data1\[4\]\[11\],9.82µm
data_array.data1\[4\]\[56\],9.82µm
data_array.data1\[8\]\[53\],9.82µm
tag_array.tag0\[4\]\[9\],9.82µm
tag_array.tag0\[8\]\[11\],9.82µm
tag_array.tag0\[9\]\[18\],9.82µm
tag_array.tag1\[13\]\[21\],9.82µm
tag_array.tag1\[14\]\[16\],9.82µm
net246,9.82µm
net3499,9.82µm
_04452_,9.8µm
data_array.data0\[12\]\[43\],9.8µm
data_array.data0\[3\]\[2\],9.8µm
data_array.data0\[9\]\[26\],9.8µm
data_array.data1\[13\]\[4\],9.8µm
data_array.data1\[14\]\[17\],9.8µm
data_array.data1\[14\]\[58\],9.8µm
data_array.data0\[15\]\[18\],9.795µm
tag_array.tag0\[3\]\[9\],9.795µm
_00285_,9.785µm
_00624_,9.785µm
_00631_,9.785µm
_00865_,9.785µm
_01315_,9.785µm
_02075_,9.785µm
_03134_,9.78µm
_03351_,9.78µm
_03499_,9.78µm
_03804_,9.78µm
_03918_,9.78µm
_04096_,9.78µm
_05235_,9.78µm
_05501_,9.78µm
data_array.data0\[13\]\[34\],9.78µm
data_array.data0\[1\]\[13\],9.78µm
data_array.data0\[2\]\[60\],9.78µm
data_array.data0\[8\]\[49\],9.78µm
data_array.data0\[9\]\[28\],9.78µm
data_array.data1\[14\]\[0\],9.78µm
data_array.data1\[4\]\[46\],9.78µm
data_array.data1\[6\]\[19\],9.78µm
net317,9.78µm
net4551,9.78µm
_02814_,9.765µm
cpu_rdata[1],9.76µm
cpu_rdata[25],9.76µm
cpu_rdata[35],9.76µm
cpu_rdata[50],9.76µm
tag_array.tag1\[9\]\[12\],9.76µm
net285,9.76µm
net2765,9.76µm
net3508,9.76µm
net4424,9.76µm
net4572,9.76µm
data_array.data0\[3\]\[32\],9.755µm
_00938_,9.745µm
_01438_,9.745µm
_01861_,9.745µm
data_array.data1\[3\]\[47\],9.745µm
_03313_,9.74µm
_03719_,9.74µm
_03934_,9.74µm
data_array.data0\[0\]\[22\],9.74µm
data_array.data1\[0\]\[10\],9.74µm
tag_array.tag0\[9\]\[10\],9.74µm
tag_array.tag1\[0\]\[23\],9.74µm
tag_array.tag1\[4\]\[8\],9.74µm
net299,9.74µm
net4476,9.74µm
_03235_,9.72µm
_04378_,9.72µm
data_array.data0\[7\]\[39\],9.72µm
data_array.data1\[14\]\[57\],9.72µm
data_array.data1\[9\]\[14\],9.72µm
tag_array.tag1\[0\]\[22\],9.72µm
_00921_,9.715µm
_01114_,9.705µm
_02197_,9.705µm
data_array.data1\[7\]\[35\],9.705µm
tag_array.tag0\[3\]\[15\],9.705µm
tag_array.tag0\[3\]\[4\],9.705µm
data_array.data0\[10\]\[36\],9.7µm
data_array.data0\[1\]\[53\],9.7µm
data_array.data0\[4\]\[55\],9.7µm
data_array.data0\[5\]\[56\],9.7µm
data_array.data1\[9\]\[34\],9.7µm
tag_array.tag0\[6\]\[20\],9.7µm
tag_array.tag0\[9\]\[15\],9.7µm
tag_array.tag1\[6\]\[11\],9.7µm
tag_array.valid0\[13\],9.7µm
net125,9.7µm
net3665,9.7µm
_01247_,9.685µm
_01849_,9.685µm
_01882_,9.685µm
_02227_,9.685µm
_02505_,9.685µm
_04239_,9.68µm
data_array.data0\[13\]\[16\],9.68µm
data_array.data0\[6\]\[60\],9.68µm
data_array.data1\[1\]\[6\],9.68µm
net2600,9.68µm
_01210_,9.675µm
_01133_,9.665µm
data_array.data0\[11\]\[17\],9.665µm
_03582_,9.66µm
_04967_,9.66µm
data_array.data0\[2\]\[46\],9.66µm
data_array.data0\[6\]\[9\],9.66µm
data_array.rdata0\[38\],9.66µm
data_array.rdata1\[22\],9.66µm
tag_array.tag0\[2\]\[11\],9.66µm
tag_array.tag0\[2\]\[8\],9.66µm
tag_array.tag1\[6\]\[3\],9.66µm
net3401,9.66µm
net3753,9.66µm
net4059,9.66µm
net4312,9.66µm
net4353,9.66µm
data_array.data1\[7\]\[24\],9.655µm
cpu_rdata[49],9.65µm
_02067_,9.645µm
_03360_,9.64µm
_05515_,9.64µm
cpu_wdata[16],9.64µm
cpu_wdata[23],9.64µm
cpu_wdata[32],9.64µm
cpu_wdata[35],9.64µm
cpu_wdata[46],9.64µm
cpu_wdata[54],9.64µm
cpu_wdata[6],9.64µm
mem_rdata[21],9.64µm
mem_rdata[26],9.64µm
mem_rdata[27],9.64µm
mem_rdata[32],9.64µm
mem_rdata[39],9.64µm
mem_rdata[63],9.64µm
net207,9.64µm
net4316,9.64µm
data_array.data0\[7\]\[59\],9.625µm
tag_array.tag1\[15\]\[18\],9.625µm
data_array.data0\[2\]\[50\],9.62µm
tag_array.tag0\[0\]\[21\],9.62µm
net2300,9.62µm
cpu_rdata[0],9.61µm
cpu_rdata[51],9.61µm
cpu_rdata[53],9.61µm
mem_addr[20],9.61µm
_02214_,9.605µm
data_array.data1\[0\]\[0\],9.6µm
data_array.data1\[12\]\[20\],9.6µm
data_array.data1\[12\]\[53\],9.6µm
tag_array.dirty1\[1\],9.6µm
net59,9.6µm
net3438,9.6µm
_01135_,9.585µm
_02950_,9.585µm
_03003_,9.585µm
data_array.data1\[15\]\[36\],9.585µm
data_array.data1\[7\]\[39\],9.585µm
_03157_,9.58µm
_03431_,9.58µm
data_array.data0\[12\]\[38\],9.58µm
data_array.data0\[1\]\[32\],9.58µm
data_array.data1\[14\]\[63\],9.58µm
data_array.data1\[5\]\[45\],9.58µm
net4147,9.58µm
data_array.data1\[7\]\[5\],9.575µm
tag_array.tag1\[11\]\[13\],9.575µm
_01683_,9.565µm
_02478_,9.565µm
_02800_,9.565µm
_03579_,9.56µm
_04179_,9.56µm
_04207_,9.56µm
data_array.data0\[5\]\[51\],9.56µm
data_array.data0\[5\]\[9\],9.56µm
tag_array.tag1\[15\]\[22\],9.56µm
net2632,9.56µm
net4210,9.56µm
data_array.data0\[7\]\[36\],9.555µm
_04027_,9.54µm
data_array.data0\[0\]\[42\],9.54µm
data_array.data1\[0\]\[28\],9.54µm
data_array.data1\[0\]\[43\],9.54µm
tag_array.tag0\[15\]\[11\],9.54µm
tag_array.tag1\[13\]\[12\],9.54µm
net1848,9.54µm
net3166,9.54µm
tag_array.tag1\[14\]\[8\],9.53µm
_03628_,9.52µm
_03660_,9.52µm
_03755_,9.52µm
_03996_,9.52µm
_04155_,9.52µm
_04508_,9.52µm
_04673_,9.52µm
_05233_,9.52µm
data_array.data0\[0\]\[24\],9.52µm
data_array.data0\[3\]\[17\],9.52µm
net3359,9.52µm
_04297_,9.5µm
_04362_,9.5µm
data_array.data1\[5\]\[46\],9.5µm
tag_array.tag1\[12\]\[6\],9.5µm
tag_array.tag1\[5\]\[23\],9.5µm
_02561_,9.495µm
cpu_rdata[15],9.49µm
mem_wdata[45],9.49µm
net1653,9.485µm
_03395_,9.48µm
_05148_,9.48µm
data_array.data0\[1\]\[6\],9.48µm
data_array.data0\[2\]\[2\],9.48µm
data_array.data0\[3\]\[57\],9.48µm
data_array.data0\[5\]\[19\],9.48µm
data_array.data1\[0\]\[38\],9.48µm
data_array.data1\[4\]\[62\],9.48µm
lru_array.lru_mem\[0\],9.48µm
tag_array.tag0\[13\]\[24\],9.48µm
tag_array.tag0\[8\]\[16\],9.48µm
tag_array.tag0\[9\]\[24\],9.48µm
tag_array.tag1\[2\]\[23\],9.48µm
net2621,9.48µm
net3759,9.48µm
net4046,9.48µm
net4237,9.48µm
net4374,9.48µm
_03463_,9.46µm
data_array.data0\[13\]\[49\],9.46µm
data_array.rdata0\[25\],9.46µm
net1968,9.46µm
data_array.data1\[7\]\[45\],9.455µm
_00820_,9.445µm
_01369_,9.445µm
_01667_,9.445µm
_02423_,9.445µm
_02649_,9.445µm
_03083_,9.445µm
_03762_,9.44µm
_04028_,9.44µm
_04636_,9.44µm
_04892_,9.44µm
_04988_,9.44µm
_05034_,9.44µm
_05224_,9.44µm
tag_array.tag0\[1\]\[5\],9.44µm
tag_array.tag0\[2\]\[18\],9.44µm
tag_array.tag1\[13\]\[23\],9.44µm
tag_array.tag1\[9\]\[17\],9.44µm
net2487,9.44µm
net3559,9.44µm
net4474,9.44µm
tag_array.tag0\[11\]\[12\],9.425µm
_03923_,9.42µm
_04375_,9.42µm
_05172_,9.42µm
_05288_,9.42µm
mem_wdata[57],9.42µm
_00255_,9.405µm
_00260_,9.405µm
_01158_,9.405µm
_01194_,9.405µm
_01226_,9.405µm
_01649_,9.405µm
_01733_,9.405µm
_01844_,9.405µm
_02722_,9.405µm
_02908_,9.405µm
_04175_,9.4µm
_04192_,9.4µm
_05332_,9.4µm
data_array.data0\[0\]\[13\],9.4µm
data_array.data0\[13\]\[5\],9.4µm
data_array.data0\[9\]\[16\],9.4µm
data_array.data1\[1\]\[32\],9.4µm
mem_wdata[12],9.4µm
tag_array.tag1\[0\]\[6\],9.4µm
_02317_,9.395µm
data_array.data0\[0\]\[23\],9.385µm
data_array.data0\[0\]\[52\],9.38µm
data_array.data0\[4\]\[2\],9.38µm
data_array.data1\[2\]\[31\],9.38µm
tag_array.tag1\[5\]\[22\],9.38µm
net107,9.38µm
data_array.data0\[7\]\[31\],9.375µm
data_array.data1\[7\]\[42\],9.375µm
_02093_,9.365µm
_02667_,9.365µm
_03537_,9.36µm
_03772_,9.36µm
_04091_,9.36µm
_04128_,9.36µm
_04667_,9.36µm
_05303_,9.36µm
_05477_,9.36µm
data_array.data0\[0\]\[49\],9.36µm
data_array.data0\[12\]\[10\],9.36µm
data_array.data0\[14\]\[38\],9.36µm
data_array.data0\[1\]\[34\],9.36µm
data_array.data0\[5\]\[35\],9.36µm
data_array.data1\[0\]\[13\],9.36µm
data_array.data1\[10\]\[9\],9.36µm
data_array.data1\[12\]\[44\],9.36µm
data_array.data1\[14\]\[46\],9.36µm
data_array.data1\[1\]\[35\],9.36µm
data_array.data1\[6\]\[37\],9.36µm
data_array.data1\[6\]\[55\],9.36µm
data_array.data1\[9\]\[17\],9.36µm
data_array.data1\[9\]\[62\],9.36µm
tag_array.tag0\[10\]\[16\],9.36µm
tag_array.tag0\[13\]\[20\],9.36µm
tag_array.tag0\[8\]\[21\],9.36µm
net186,9.36µm
net1760,9.36µm
net3948,9.36µm
net4401,9.36µm
_04638_,9.34µm
data_array.data0\[5\]\[0\],9.34µm
data_array.data1\[10\]\[56\],9.34µm
data_array.data1\[5\]\[5\],9.34µm
tag_array.tag0\[2\]\[0\],9.34µm
tag_array.tag0\[5\]\[0\],9.34µm
net161,9.34µm
lru_array.lru_mem\[7\],9.335µm
_01666_,9.325µm
_02928_,9.325µm
_03417_,9.32µm
_04535_,9.32µm
_04603_,9.32µm
_04873_,9.32µm
_04930_,9.32µm
_05062_,9.32µm
_05076_,9.32µm
_05105_,9.32µm
data_array.data0\[4\]\[23\],9.32µm
data_array.data0\[4\]\[47\],9.32µm
data_array.rdata0\[21\],9.32µm
data_array.rdata0\[7\],9.32µm
data_array.rdata1\[33\],9.32µm
net170,9.32µm
net176,9.32µm
net187,9.32µm
net293,9.32µm
net2531,9.32µm
net3743,9.32µm
net4431,9.32µm
_04221_,9.3µm
cpu_rdata[46],9.3µm
data_array.data1\[3\]\[43\],9.3µm
net4089,9.3µm
_01036_,9.285µm
_01071_,9.285µm
_01507_,9.285µm
_01610_,9.285µm
_01657_,9.285µm
data_array.data1\[7\]\[56\],9.285µm
_03336_,9.28µm
_04749_,9.28µm
_05521_,9.28µm
data_array.data0\[0\]\[27\],9.28µm
data_array.data0\[12\]\[52\],9.28µm
data_array.data0\[9\]\[36\],9.28µm
data_array.data1\[4\]\[13\],9.28µm
net120,9.28µm
net311,9.28µm
net3249,9.28µm
net4075,9.28µm
cpu_addr[24],9.27µm
data_array.data1\[15\]\[13\],9.265µm
_04413_,9.26µm
data_array.data0\[10\]\[57\],9.26µm
net3429,9.26µm
net3650,9.26µm
_00341_,9.245µm
_01590_,9.245µm
_02232_,9.245µm
_03224_,9.24µm
_04759_,9.24µm
_04927_,9.24µm
_04937_,9.24µm
_05416_,9.24µm
data_array.data0\[5\]\[14\],9.24µm
data_array.data0\[6\]\[55\],9.24µm
data_array.data1\[12\]\[48\],9.24µm
data_array.data1\[13\]\[1\],9.24µm
data_array.data1\[2\]\[51\],9.24µm
data_array.data1\[9\]\[54\],9.24µm
data_array.rdata1\[35\],9.24µm
tag_array.dirty1\[9\],9.24µm
tag_array.tag1\[1\]\[6\],9.24µm
net142,9.24µm
net1973,9.24µm
net3657,9.24µm
net3740,9.24µm
_01078_,9.225µm
_01110_,9.225µm
_01681_,9.225µm
_01696_,9.225µm
_01700_,9.225µm
_02805_,9.225µm
_02822_,9.225µm
data_array.data1\[5\]\[24\],9.22µm
data_array.rdata1\[24\],9.22µm
lru_array.lru_mem\[6\],9.22µm
tag_array.tag1\[14\]\[12\],9.22µm
net1940,9.22µm
net2107,9.22µm
net2370,9.22µm
net2555,9.22µm
net3304,9.22µm
_00815_,9.205µm
_01190_,9.205µm
tag_array.dirty1\[11\],9.205µm
_04246_,9.2µm
_04727_,9.2µm
data_array.data0\[4\]\[14\],9.2µm
data_array.data0\[7\]\[52\],9.2µm
data_array.data1\[11\]\[7\],9.2µm
data_array.data1\[2\]\[17\],9.2µm
data_array.data1\[8\]\[23\],9.2µm
tag_array.tag1\[10\]\[18\],9.2µm
_00388_,9.185µm
_00483_,9.185µm
_01537_,9.185µm
_02309_,9.185µm
data_array.data0\[3\]\[4\],9.185µm
_05200_,9.18µm
cpu_wdata[17],9.18µm
cpu_wdata[1],9.18µm
cpu_wdata[26],9.18µm
cpu_wdata[39],9.18µm
net4216,9.18µm
data_array.data1\[3\]\[41\],9.165µm
_03300_,9.16µm
_04747_,9.16µm
data_array.data0\[14\]\[29\],9.16µm
data_array.data0\[3\]\[18\],9.16µm
data_array.data0\[4\]\[37\],9.16µm
data_array.data0\[6\]\[43\],9.16µm
data_array.data1\[7\]\[61\],9.16µm
data_array.data1\[9\]\[20\],9.16µm
tag_array.tag1\[13\]\[4\],9.16µm
tag_array.valid1\[4\],9.16µm
mem_wdata[49],9.15µm
_02453_,9.145µm
_04219_,9.14µm
data_array.data0\[4\]\[6\],9.14µm
data_array.data0\[9\]\[13\],9.14µm
data_array.data1\[1\]\[59\],9.14µm
data_array.data1\[4\]\[12\],9.14µm
_02114_,9.125µm
_02703_,9.125µm
_03010_,9.125µm
_04532_,9.125µm
data_array.data1\[15\]\[11\],9.125µm
data_array.data1\[3\]\[21\],9.125µm
_03186_,9.12µm
_03189_,9.12µm
_04051_,9.12µm
data_array.data0\[12\]\[5\],9.12µm
data_array.data0\[4\]\[25\],9.12µm
data_array.data0\[4\]\[35\],9.12µm
data_array.data0\[9\]\[10\],9.12µm
data_array.data0\[9\]\[24\],9.12µm
data_array.data1\[1\]\[60\],9.12µm
data_array.data1\[4\]\[4\],9.12µm
data_array.rdata1\[59\],9.12µm
tag_array.dirty0\[10\],9.12µm
tag_array.tag0\[13\]\[19\],9.12µm
tag_array.tag0\[14\]\[22\],9.12µm
net2188,9.12µm
net3778,9.12µm
net4004,9.12µm
_01887_,9.105µm
data_array.data0\[1\]\[31\],9.1µm
data_array.data1\[12\]\[14\],9.1µm
_03549_,9.08µm
_04681_,9.08µm
data_array.data0\[11\]\[62\],9.08µm
data_array.data1\[12\]\[55\],9.08µm
data_array.data1\[15\]\[34\],9.08µm
tag_array.tag0\[7\]\[23\],9.08µm
tag_array.tag1\[0\]\[24\],9.08µm
tag_array.tag1\[7\]\[18\],9.08µm
_02860_,9.065µm
_04232_,9.06µm
_04466_,9.06µm
_05066_,9.06µm
data_array.rdata0\[6\],9.06µm
tag_array.tag0\[5\]\[21\],9.06µm
tag_array.tag1\[1\]\[21\],9.06µm
net272,9.06µm
net2836,9.06µm
_01266_,9.045µm
data_array.data0\[13\]\[1\],9.04µm
data_array.data0\[14\]\[30\],9.04µm
tag_array.tag0\[13\]\[22\],9.04µm
tag_array.tag0\[6\]\[23\],9.04µm
tag_array.tag1\[12\]\[13\],9.04µm
net139,9.04µm
cpu_rdata[59],9.03µm
tag_array.tag1\[3\]\[12\],9.03µm
_00617_,9.025µm
_01425_,9.025µm
_01613_,9.025µm
_02262_,9.025µm
_03075_,9.025µm
data_array.data1\[15\]\[51\],9.025µm
_03596_,9.02µm
_04448_,9.02µm
_04455_,9.02µm
_05248_,9.02µm
data_array.data0\[12\]\[7\],9.02µm
data_array.data1\[14\]\[20\],9.02µm
data_array.rdata0\[46\],9.02µm
data_array.rdata1\[28\],9.02µm
tag_array.dirty1\[2\],9.02µm
tag_array.tag1\[0\]\[3\],9.02µm
_00970_,9.005µm
data_array.data0\[13\]\[48\],9µm
data_array.data0\[4\]\[59\],9µm
data_array.data1\[11\]\[51\],9µm
data_array.data1\[8\]\[15\],9µm
fsm.tag_out1\[5\],9µm
tag_array.tag0\[5\]\[3\],9µm
tag_array.tag1\[2\]\[21\],9µm
tag_array.tag1\[8\]\[8\],9µm
data_array.data1\[15\]\[60\],8.995µm
data_array.data1\[7\]\[2\],8.995µm
tag_array.tag1\[15\]\[0\],8.995µm
_01046_,8.985µm
_01327_,8.985µm
_01342_,8.985µm
_01432_,8.985µm
_01907_,8.985µm
_02028_,8.985µm
_02990_,8.985µm
data_array.data0\[7\]\[32\],8.985µm
_03223_,8.98µm
_03324_,8.98µm
_03585_,8.98µm
_04233_,8.98µm
_04302_,8.98µm
_04528_,8.98µm
_05495_,8.98µm
_05539_,8.98µm
data_array.data0\[6\]\[25\],8.98µm
data_array.data0\[7\]\[41\],8.98µm
data_array.data1\[12\]\[42\],8.98µm
tag_array.tag0\[10\]\[12\],8.98µm
tag_array.tag0\[2\]\[1\],8.98µm
tag_array.tag0\[6\]\[16\],8.98µm
net2696,8.98µm
net4016,8.98µm
net4243,8.98µm
net4601,8.98µm
data_array.data0\[3\]\[21\],8.975µm
_04082_,8.96µm
_04416_,8.96µm
_04628_,8.96µm
_04888_,8.96µm
_04972_,8.96µm
cpu_rdata[37],8.96µm
cpu_rdata[41],8.96µm
data_array.data0\[6\]\[61\],8.96µm
mem_wdata[25],8.96µm
