Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_182_153,VGND,li1,78.6600,505.9200,0.000126
FILLER_182_141,VGND,li1,73.1400,505.9200,0.000115
FILLER_182_139,VGND,li1,69.6900,505.9200,0.000105
FILLER_182_133,VGND,li1,68.0800,505.9200,0.000105
FILLER_182_121,VGND,li1,63.9400,505.9200,0.000097
FILLER_182_109,VGND,li1,58.4200,505.9200,0.000084
FILLER_182_97,VGND,li1,52.9000,505.9200,0.000075
FILLER_182_85,VGND,li1,47.3800,505.9200,0.000064
FILLER_182_83,VGND,li1,43.9300,505.9200,0.000054
FILLER_182_77,VGND,li1,42.3200,505.9200,0.000054
FILLER_182_65,VGND,li1,38.1800,505.9200,0.000046
FILLER_182_53,VGND,li1,32.6600,505.9200,0.000035
FILLER_182_41,VGND,li1,27.1400,505.9200,0.000024
FILLER_182_29,VGND,li1,21.6200,505.9200,0.000020
FILLER_182_27,VGND,li1,18.1700,505.9200,0.000020
FILLER_182_15,VGND,li1,15.1800,505.9200,0.000020
FILLER_182_3,VGND,li1,9.6600,505.9200,0.000020
FILLER_181_1089,VGND,li1,507.1500,505.9200,0.000009
FILLER_181_1077,VGND,li1,503.7000,505.9200,0.000009
FILLER_181_1065,VGND,li1,498.1800,505.9200,0.000009
FILLER_181_1063,VGND,li1,494.7300,505.9200,0.000009
FILLER_181_1057,VGND,li1,493.1200,505.9200,0.000009
FILLER_181_1045,VGND,li1,488.9800,505.9200,0.000009
FILLER_181_1033,VGND,li1,483.4600,505.9200,0.000012
FILLER_181_1021,VGND,li1,477.9400,505.9200,0.000016
FILLER_181_1009,VGND,li1,472.4200,505.9200,0.000021
FILLER_181_1007,VGND,li1,468.9700,505.9200,0.000026
FILLER_181_1001,VGND,li1,467.3600,505.9200,0.000026
FILLER_181_989,VGND,li1,463.2200,505.9200,0.000030
FILLER_181_977,VGND,li1,457.7000,505.9200,0.000036
FILLER_181_965,VGND,li1,452.1800,505.9200,0.000040
FILLER_181_953,VGND,li1,446.6600,505.9200,0.000045
FILLER_181_951,VGND,li1,443.2100,505.9200,0.000050
FILLER_181_945,VGND,li1,441.6000,505.9200,0.000050
FILLER_181_933,VGND,li1,437.4600,505.9200,0.000053
FILLER_181_921,VGND,li1,431.9400,505.9200,0.000060
FILLER_181_909,VGND,li1,426.4200,505.9200,0.000064
FILLER_181_897,VGND,li1,420.9000,505.9200,0.000069
FILLER_181_895,VGND,li1,417.4500,505.9200,0.000073
FILLER_181_889,VGND,li1,415.8400,505.9200,0.000073
FILLER_181_877,VGND,li1,411.7000,505.9200,0.000077
FILLER_181_865,VGND,li1,406.1800,505.9200,0.000082
FILLER_181_853,VGND,li1,400.6600,505.9200,0.000088
FILLER_181_841,VGND,li1,395.1400,505.9200,0.000093
FILLER_181_838,VGND,li1,391.4600,505.9200,0.000096
FILLER_181_826,VGND,li1,388.2400,505.9200,0.000099
FILLER_181_793,VGND,li1,370.5300,505.9200,0.000107
FILLER_181_785,VGND,li1,367.0800,505.9200,0.000106
FILLER_181_780,VGND,li1,365.2400,505.9200,0.000105
FILLER_181_749,VGND,li1,350.9800,505.9200,0.000092
FILLER_181_737,VGND,li1,347.3000,505.9200,0.000087
FILLER_181_726,VGND,li1,339.9400,505.9200,0.000076
FILLER_181_718,VGND,li1,337.6400,505.9200,0.000071
FILLER_181_706,VGND,li1,333.0400,505.9200,0.000065
FILLER_181_689,VGND,li1,323.8400,505.9200,0.000109
FILLER_181_665,VGND,li1,311.8800,505.9200,0.000168
FILLER_181_610,VGND,li1,287.5000,505.9200,0.000239
FILLER_181_577,VGND,li1,271.1700,505.9200,0.000266
FILLER_181_524,VGND,li1,247.4800,505.9200,0.000267
FILLER_181_512,VGND,li1,243.8000,505.9200,0.000263
FILLER_181_486,VGND,li1,229.5400,505.9200,0.000249
FILLER_181_469,VGND,li1,221.4900,505.9200,0.000233
FILLER_181_465,VGND,li1,220.3400,505.9200,0.000233
FILLER_181_429,VGND,li1,203.5500,505.9200,0.000188
FILLER_181_393,VGND,li1,187.2200,505.9200,0.000123
FILLER_181_391,VGND,li1,185.6100,505.9200,0.000114
FILLER_181_378,VGND,li1,180.3200,505.9200,0.000088
FILLER_181_366,VGND,li1,176.6400,505.9200,0.000088
FILLER_181_349,VGND,li1,166.2900,505.9200,0.000109
FILLER_181_337,VGND,li1,163.3000,505.9200,0.000117
FILLER_181_333,VGND,li1,159.3900,505.9200,0.000123
FILLER_181_305,VGND,li1,146.7400,505.9200,0.000148
FILLER_181_293,VGND,li1,143.0600,505.9200,0.000152
FILLER_181_281,VGND,li1,135.4700,505.9200,0.000163
FILLER_181_268,VGND,li1,131.5600,505.9200,0.000166
FILLER_181_256,VGND,li1,126.0400,505.9200,0.000168
FILLER_181_225,VGND,li1,109.9400,505.9200,0.000165
FILLER_181_223,VGND,li1,108.3300,505.9200,0.000163
FILLER_181_219,VGND,li1,107.1800,505.9200,0.000163
FILLER_181_205,VGND,li1,100.2800,505.9200,0.000157
FILLER_181_197,VGND,li1,97.9800,505.9200,0.000155
FILLER_181_169,VGND,li1,84.6400,505.9200,0.000135
